instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2011-01-01,1,0,1,0,0,6,0,1,3.28,81.0,0.0,16
1,2011-01-01,1,0,1,1,0,6,0,1,2.34,80.0,0.0,40
2,2011-01-01,1,0,1,2,0,6,0,1,2.81,77.5,0.0,32
3,2011-01-01,1,0,1,3,0,6,0,1,3.34,74.69,0.38,13
4,2011-01-01,1,0,1,4,0,6,0,1,3.34,74.69,3.38,1
5,2011-01-01,1,0,1,5,0,6,0,2,2.87,77.12,3.38,1
6,2011-01-01,1,0,1,6,0,6,0,1,1.69,84.0,0.38,2
7,2011-01-01,1,0,1,7,0,6,0,1,2.05,80.81,0.0,3
8,2011-01-01,1,0,1,8,0,6,0,1,5.1,74.81,1.06,8
9,2011-01-01,1,0,1,9,0,6,0,1,8.74,75.75,8.37,14
10,2011-01-01,1,0,1,10,0,6,0,1,9.39,78.75,19.06,36
11,2011-01-01,1,0,1,11,0,6,0,1,10.15,79.62,19.06,56
12,2011-01-01,1,0,1,12,0,6,0,1,12.86,74.25,19.56,84
13,2011-01-01,1,0,1,13,0,6,0,2,13.8,71.37,19.5,94
14,2011-01-01,1,0,1,14,0,6,0,2,13.21,74.19,19.44,106
15,2011-01-01,1,0,1,15,0,6,0,2,12.09,79.81,20.12,110
16,2011-01-01,1,0,1,16,0,6,0,2,12.21,81.94,19.63,93
17,2011-01-01,1,0,1,17,0,6,0,2,12.27,85.0,17.94,67
18,2011-01-01,1,0,1,18,0,6,0,3,11.74,88.44,16.87,35
19,2011-01-01,1,0,1,19,0,6,0,3,11.27,87.5,17.25,37
20,2011-01-01,1,0,1,20,0,6,0,2,10.74,86.5,14.87,36
21,2011-01-01,1,0,1,21,0,6,0,2,10.62,90.87,13.44,34
22,2011-01-01,1,0,1,22,0,6,0,2,12.21,91.44,17.63,28
23,2011-01-01,1,0,1,23,0,6,0,2,13.85,87.25,20.5,39
24,2011-01-02,1,0,1,0,0,0,0,2,13.21,90.62,18.37,17
25,2011-01-02,1,0,1,1,0,0,0,2,12.03,97.75,18.19,17
26,2011-01-02,1,0,1,2,0,0,0,2,12.62,97.37,16.12,9
27,2011-01-02,1,0,1,3,0,0,0,2,13.85,94.69,12.19,6
28,2011-01-02,1,0,1,4,0,0,0,2,12.74,85.56,16.94,3
29,2011-01-02,1,0,1,6,0,0,0,3,11.15,75.75,16.81,2
30,2011-01-02,1,0,1,7,0,0,0,2,10.8,73.12,13.56,1
31,2011-01-02,1,0,1,8,0,0,0,3,10.39,72.87,15.13,8
32,2011-01-02,1,0,1,9,0,0,0,2,9.33,79.44,14.88,20
33,2011-01-02,1,0,1,10,0,0,0,2,8.86,76.62,15.81,53
34,2011-01-02,1,0,1,11,0,0,0,2,8.92,67.87,19.31,70
35,2011-01-02,1,0,1,12,0,0,0,2,8.92,65.06,14.44,93
36,2011-01-02,1,0,1,13,0,0,0,2,8.98,70.69,10.44,75
37,2011-01-02,1,0,1,14,0,0,0,3,8.45,79.75,12.25,59
38,2011-01-02,1,0,1,15,0,0,0,3,7.92,77.19,10.75,74
39,2011-01-02,1,0,1,16,0,0,0,3,7.92,64.06,11.44,76
40,2011-01-02,1,0,1,17,0,0,0,1,8.57,50.87,17.13,65
41,2011-01-02,1,0,1,18,0,0,0,2,8.1,43.5,26.94,53
42,2011-01-02,1,0,1,19,0,0,0,1,6.57,39.94,27.63,30
43,2011-01-02,1,0,1,20,0,0,0,1,5.16,41.31,22.75,22
44,2011-01-02,1,0,1,21,0,0,0,1,3.69,44.12,21.44,31
45,2011-01-02,1,0,1,22,0,0,0,1,2.75,45.69,14.56,9
46,2011-01-02,1,0,1,23,0,0,0,1,2.34,45.69,16.69,8
47,2011-01-03,1,0,1,0,0,1,1,1,1.99,43.62,26.94,5
48,2011-01-03,1,0,1,1,0,1,1,1,0.4,45.5,27.69,2
49,2011-01-03,1,0,1,4,0,1,1,1,0.54,47.0,21.94,1
50,2011-01-03,1,0,1,5,0,1,1,1,0.95,48.5,22.88,3
51,2011-01-03,1,0,1,6,0,1,1,1,1.48,50.19,19.56,30
52,2011-01-03,1,0,1,7,0,1,1,1,1.48,50.44,14.75,64
53,2011-01-03,1,0,1,8,0,1,1,1,1.01,46.5,23.44,154
54,2011-01-03,1,0,1,9,0,1,1,1,0.01,42.75,21.63,88
55,2011-01-03,1,0,1,10,0,1,1,1,0.93,41.81,19.06,44
56,2011-01-03,1,0,1,11,0,1,1,1,1.87,37.31,21.38,51
57,2011-01-03,1,0,1,12,0,1,1,1,2.81,35.0,19.38,61
58,2011-01-03,1,0,1,13,0,1,1,1,3.81,32.5,19.06,61
59,2011-01-03,1,0,1,14,0,1,1,1,4.28,29.69,18.0,77
60,2011-01-03,1,0,1,15,0,1,1,1,4.28,30.0,17.0,72
61,2011-01-03,1,0,1,16,0,1,1,1,3.75,29.87,16.5,76
62,2011-01-03,1,0,1,17,0,1,1,1,3.34,30.06,11.31,157
63,2011-01-03,1,0,1,18,0,1,1,1,2.34,39.62,2.56,157
64,2011-01-03,1,0,1,19,0,1,1,1,1.34,46.87,2.94,110
65,2011-01-03,1,0,1,20,0,1,1,1,1.05,55.19,8.44,52
66,2011-01-03,1,0,1,21,0,1,1,1,0.66,68.44,9.25,52
67,2011-01-03,1,0,1,22,0,1,1,1,0.54,62.31,8.0,20
68,2011-01-03,1,0,1,23,0,1,1,1,0.11,53.87,6.88,12
69,2011-01-04,1,0,1,0,0,2,1,1,0.48,56.75,6.88,5
70,2011-01-04,1,0,1,1,0,2,1,1,0.95,61.25,8.19,2
71,2011-01-04,1,0,1,2,0,2,1,1,1.42,62.94,7.56,1
72,2011-01-04,1,0,1,4,0,2,1,1,1.89,65.12,6.32,2
73,2011-01-04,1,0,1,5,0,2,1,1,2.42,71.31,6.94,4
74,2011-01-04,1,0,1,6,0,2,1,1,2.42,74.69,7.87,36
75,2011-01-04,1,0,1,7,0,2,1,1,1.95,71.81,9.87,94
76,2011-01-04,1,0,1,8,0,2,1,1,0.89,65.87,12.69,179
77,2011-01-04,1,0,1,9,0,2,1,1,0.6,67.31,18.88,100
78,2011-01-04,1,0,1,10,0,2,1,2,0.93,60.31,22.0,42
79,2011-01-04,1,0,1,11,0,2,1,1,2.46,49.56,15.25,57
80,2011-01-04,1,0,1,12,0,2,1,1,2.75,53.75,11.31,78
81,2011-01-04,1,0,1,13,0,2,1,1,3.75,54.31,14.0,97
82,2011-01-04,1,0,1,14,0,2,1,1,4.69,51.94,16.12,63
83,2011-01-04,1,0,1,15,0,2,1,1,5.75,50.56,17.25,65
84,2011-01-04,1,0,1,16,0,2,1,1,5.75,48.31,16.12,83
85,2011-01-04,1,0,1,17,0,2,1,1,4.69,47.94,14.25,212
86,2011-01-04,1,0,1,18,0,2,1,1,3.69,48.0,9.87,182
87,2011-01-04,1,0,1,19,0,2,1,1,3.28,47.0,7.06,112
88,2011-01-04,1,0,1,20,0,2,1,1,2.81,56.0,3.13,54
89,2011-01-04,1,0,1,21,0,2,1,1,2.34,64.69,2.56,48
90,2011-01-04,1,0,1,22,0,2,1,1,1.87,66.81,6.75,35
91,2011-01-04,1,0,1,23,0,2,1,1,1.46,66.19,2.63,11
92,2011-01-05,1,0,1,0,0,3,1,1,0.46,68.69,2.63,6
