instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2011-01-01,1,0,1,0,0,6,0,1,3.5,81.0,0.0,16
1,2011-01-01,1,0,1,1,0,6,0,1,2.5,80.0,0.0,40
2,2011-01-01,1,0,1,2,0,6,0,1,3.0,78.0,0.0,32
3,2011-01-01,1,0,1,3,0,6,0,1,3.5,75.0,0.0,13
4,2011-01-01,1,0,1,4,0,6,0,1,3.5,75.0,3.0,1
5,2011-01-01,1,0,1,5,0,6,0,2,3.0,77.0,3.0,1
6,2011-01-01,1,0,1,6,0,6,0,1,1.5,84.0,0.0,2
7,2011-01-01,1,0,1,7,0,6,0,1,2.0,81.0,0.0,3
8,2011-01-01,1,0,1,8,0,6,0,1,5.0,75.0,1.0,8
9,2011-01-01,1,0,1,9,0,6,0,1,8.5,76.0,8.0,14
10,2011-01-01,1,0,1,10,0,6,0,1,9.5,79.0,19.0,36
11,2011-01-01,1,0,1,11,0,6,0,1,10.0,80.0,19.0,56
12,2011-01-01,1,0,1,12,0,6,0,1,13.0,74.0,20.0,84
13,2011-01-01,1,0,1,13,0,6,0,2,14.0,71.0,20.0,94
14,2011-01-01,1,0,1,14,0,6,0,2,13.0,74.0,19.0,106
15,2011-01-01,1,0,1,15,0,6,0,2,12.0,80.0,20.0,110
16,2011-01-01,1,0,1,16,0,6,0,2,12.0,82.0,20.0,93
17,2011-01-01,1,0,1,17,0,6,0,2,12.5,85.0,18.0,67
18,2011-01-01,1,0,1,18,0,6,0,3,11.5,88.0,17.0,35
19,2011-01-01,1,0,1,19,0,6,0,3,11.5,88.0,17.0,37
20,2011-01-01,1,0,1,20,0,6,0,2,10.5,86.0,15.0,36
21,2011-01-01,1,0,1,21,0,6,0,2,10.5,91.0,13.0,34
22,2011-01-01,1,0,1,22,0,6,0,2,12.0,91.0,18.0,28
23,2011-01-01,1,0,1,23,0,6,0,2,14.0,87.0,20.0,39
24,2011-01-02,1,0,1,0,0,0,0,2,13.0,91.0,18.0,17
25,2011-01-02,1,0,1,1,0,0,0,2,12.0,98.0,18.0,17
26,2011-01-02,1,0,1,2,0,0,0,2,12.5,97.0,16.0,9
27,2011-01-02,1,0,1,3,0,0,0,2,14.0,95.0,12.0,6
28,2011-01-02,1,0,1,4,0,0,0,2,12.5,86.0,17.0,3
29,2011-01-02,1,0,1,6,0,0,0,3,11.0,76.0,17.0,2
30,2011-01-02,1,0,1,7,0,0,0,2,11.0,73.0,14.0,1
31,2011-01-02,1,0,1,8,0,0,0,3,10.5,73.0,15.0,8
32,2011-01-02,1,0,1,9,0,0,0,2,9.5,79.0,15.0,20
33,2011-01-02,1,0,1,10,0,0,0,2,9.0,77.0,16.0,53
34,2011-01-02,1,0,1,11,0,0,0,2,9.0,68.0,19.0,70
35,2011-01-02,1,0,1,12,0,0,0,2,9.0,65.0,14.0,93
