instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2011-02-23,1,0,2,2,0,3,1,1,2.5,50.0,10.0,1
1,2012-07-23,3,1,7,3,0,1,1,2,23.0,94.0,8.0,2
2,2011-03-01,1,0,3,1,0,2,1,1,3.5,67.0,25.0,3
3,2011-12-13,4,0,12,1,0,2,1,1,1.5,80.0,0.0,4
4,2012-06-15,2,1,6,3,0,5,1,1,18.5,83.0,12.0,5
5,2012-07-22,3,1,7,5,0,0,0,1,20.5,86.0,3.0,6
6,2011-08-04,3,0,8,2,0,4,1,2,23.0,94.0,6.0,7
7,2011-02-21,1,0,2,6,1,1,0,2,12.5,23.0,21.0,8
8,2012-12-23,1,1,12,3,0,0,0,1,1.5,49.0,9.0,9
9,2011-11-18,4,0,11,1,0,5,1,1,4.0,44.0,19.0,10
10,2012-05-21,2,1,5,2,0,1,1,3,18.5,91.0,18.0,11
11,2011-01-22,1,0,1,1,0,6,0,2,6.0,41.0,22.0,12
12,2011-12-23,1,0,12,2,0,5,1,3,10.0,94.0,8.0,13
13,2011-06-12,2,0,6,4,0,0,0,1,21.0,88.0,13.0,14
14,2011-07-09,3,0,7,5,0,6,0,2,21.5,86.0,12.0,15
15,2011-05-26,2,0,5,1,0,4,1,1,21.5,78.0,8.0,16
16,2011-12-22,1,0,12,21,0,4,1,3,10.0,82.0,4.0,17
17,2012-12-23,1,1,12,2,0,0,0,1,1.5,52.0,10.0,18
18,2012-11-30,4,1,11,1,0,5,1,1,3.0,72.0,3.0,19
19,2012-03-26,2,1,3,2,0,1,1,1,13.5,85.0,14.0,20
20,2011-09-06,3,0,9,5,0,2,1,3,17.5,88.0,23.0,21
21,2011-03-23,2,0,3,21,0,3,1,3,7.0,98.0,21.0,22
22,2011-03-13,1,0,3,3,0,0,0,1,8.0,72.0,10.0,23
23,2011-06-17,2,0,6,0,0,5,1,1,18.0,91.0,7.0,24
24,2011-12-21,1,0,12,0,0,3,1,2,8.5,69.0,9.0,25
25,2011-11-07,4,0,11,5,0,1,1,1,5.5,93.0,0.0,26
26,2011-05-26,2,0,5,5,0,4,1,2,20.0,94.0,6.0,27
27,2011-01-08,1,0,1,20,0,6,0,1,2.5,38.0,20.0,28
28,2012-06-08,2,1,6,5,0,5,1,1,16.0,70.0,7.0,29
29,2012-11-01,4,1,11,1,0,4,1,1,6.5,72.0,8.0,30
30,2011-04-29,2,0,4,1,0,5,1,1,14.5,55.0,6.0,31
31,2011-07-07,3,0,7,5,0,4,1,1,22.0,89.0,8.0,32
32,2011-12-28,1,0,12,22,0,3,1,1,2.5,44.0,12.0,33
33,2011-02-26,1,0,2,23,0,6,0,1,4.5,81.0,20.0,34
34,2011-04-16,2,0,4,23,0,6,0,2,13.0,76.0,20.0,35
35,2012-08-27,3,1,8,5,0,1,1,1,21.0,89.0,0.0,36
36,2012-09-15,3,1,9,3,0,6,0,1,20.5,72.0,21.0,37
37,2012-08-28,3,1,8,0,0,2,1,1,24.5,87.0,15.0,38
38,2011-06-25,3,0,6,3,0,6,0,1,22.0,57.0,13.0,39
39,2012-06-14,2,1,6,5,0,4,1,2,19.5,58.0,18.0,40
40,2011-01-18,1,0,1,21,0,2,1,2,2.5,93.0,7.0,41
41,2012-10-18,4,1,10,5,0,4,1,1,12.5,85.0,18.0,42
42,2011-02-11,1,0,2,22,0,5,1,1,1.0,67.0,2.0,43
43,2011-02-22,1,0,2,10,0,2,1,1,0.5,66.0,2.0,44
44,2011-09-11,3,0,9,23,0,0,0,3,18.5,84.0,5.0,45
45,2011-12-18,4,0,12,1,0,0,0,1,2.0,62.0,6.0,46
46,2012-08-01,3,1,8,0,0,3,1,1,23.5,81.0,8.0,47
47,2012-09-12,3,1,9,5,0,3,1,1,15.5,72.0,6.0,48
48,2011-03-12,1,0,3,23,0,6,0,1,10.0,63.0,7.0,49
49,2011-10-21,4,0,10,0,0,5,1,1,11.0,62.0,16.0,50
50,2011-09-01,3,0,9,0,0,4,1,1,20.5,75.0,6.0,51
51,2011-05-14,2,0,5,2,0,6,0,2,15.5,88.0,9.0,52
52,2011-03-12,1,0,3,8,0,6,0,1,4.5,65.0,8.0,53
53,2011-04-08,2,0,4,21,0,5,1,2,6.0,93.0,18.0,54
54,2011-01-08,1,0,1,18,0,6,0,1,1.5,38.0,18.0,55
55,2011-02-05,1,0,2,21,0,6,0,1,4.0,97.0,10.0,56
56,2011-11-13,4,0,11,2,0,0,0,1,9.0,59.0,8.0,57
57,2011-12-21,1,0,12,13,0,3,1,3,13.5,91.0,22.0,58
58,2011-12-13,4,0,12,23,0,2,1,1,4.0,74.0,1.0,59
59,2012-08-15,3,1,8,0,0,3,1,1,25.0,60.0,7.0,60
60,2012-12-31,1,1,12,22,0,1,1,1,4.0,56.0,9.0,61
61,2012-12-28,1,1,12,22,0,5,1,2,3.5,67.0,6.0,62
62,2011-01-07,1,0,1,10,0,5,1,1,2.0,38.0,18.0,63
63,2011-09-02,3,0,9,0,0,5,1,1,21.5,69.0,10.0,64
64,2011-08-12,3,0,8,0,0,5,1,1,22.0,53.0,10.0,65
65,2011-03-04,1,0,3,10,0,5,1,1,4.0,57.0,17.0,66
66,2012-04-28,2,1,4,1,0,6,0,1,9.0,47.0,16.0,67
67,2012-06-25,3,1,6,0,0,1,1,1,25.5,63.0,17.0,68
68,2012-01-21,1,1,1,21,0,6,0,1,0.5,73.0,21.0,69
69,2011-05-15,2,0,5,8,0,0,0,2,18.5,88.0,13.0,70
70,2012-01-05,1,1,1,22,0,4,1,1,4.0,65.0,9.0,71
71,2012-07-21,3,1,7,1,0,6,0,2,20.5,86.0,18.0,72
72,2012-06-01,2,1,6,23,0,5,1,3,19.5,86.0,9.0,73
73,2012-01-11,1,1,1,6,0,3,1,1,1.5,83.0,9.0,74
74,2011-04-04,2,0,4,22,0,1,1,2,23.0,42.0,24.0,75
75,2011-01-19,1,0,1,20,0,3,1,1,7.0,48.0,25.0,76
76,2012-09-22,3,1,9,7,0,6,0,1,19.5,75.0,18.0,77
77,2012-10-20,4,1,10,2,0,6,0,1,12.0,78.0,8.0,78
78,2012-03-04,1,1,3,21,0,0,0,1,4.5,38.0,16.0,79
79,2012-04-06,2,1,4,6,0,5,1,1,6.0,49.0,23.0,80
80,2012-10-30,4,1,10,20,0,2,1,2,5.5,85.0,10.0,81
81,2011-02-22,1,0,2,21,0,2,1,1,0.5,45.0,17.0,82
82,2011-01-15,1,0,1,17,0,6,0,2,6.5,41.0,18.0,83
83,2012-04-28,2,1,4,21,0,6,0,3,9.0,71.0,12.0,84
84,2011-03-30,2,0,3,18,0,3,1,2,4.5,93.0,15.0,85
85,2011-10-24,4,0,10,6,0,1,1,1,10.5,91.0,7.0,86
86,2011-12-14,4,0,12,6,0,3,1,2,5.0,81.0,0.0,87
87,2012-04-21,2,1,4,1,0,6,0,1,16.5,77.0,12.0,88
88,2012-06-12,2,1,6,23,0,2,1,3,23.0,95.0,15.0,89
89,2012-03-20,1,1,3,23,0,2,1,1,16.5,86.0,0.0,90
90,2011-01-20,1,0,1,16,0,4,1,2,6.0,49.0,7.0,91
91,2012-09-09,3,1,9,23,0,0,0,1,18.5,52.0,20.0,92
92,2011-04-20,2,0,4,23,0,3,1,1,19.5,41.0,24.0,93
93,2011-06-27,3,0,6,6,0,1,1,2,21.5,75.0,13.0,94
94,2011-03-04,1,0,3,14,0,5,1,1,9.0,40.0,20.0,95
95,2012-12-02,4,1,12,22,0,0,0,2,12.0,80.0,11.0,96
96,2012-02-09,1,1,2,10,0,4,1,1,3.0,51.0,15.0,97
97,2011-07-24,3,0,7,22,0,0,0,1,28.0,68.0,3.0,98
98,2011-04-12,2,0,4,16,0,2,1,2,13.5,77.0,21.0,99
99,2012-11-27,4,1,11,6,0,2,1,2,6.0,81.0,10.0,100
100,2011-03-24,2,0,3,13,0,4,1,2,6.5,70.0,11.0,101
101,2011-12-16,4,0,12,21,0,5,1,2,6.5,47.0,11.0,102
102,2012-12-08,4,1,12,0,0,6,0,2,9.0,93.0,8.0,103
103,2011-12-14,4,0,12,22,0,3,1,1,7.5,68.0,11.0,104
104,2012-10-14,4,1,10,23,0,0,0,2,18.5,71.0,17.0,105
105,2011-03-22,2,0,3,13,0,2,1,1,15.5,43.0,19.0,106
106,2012-04-29,2,1,4,8,0,0,0,1,10.5,73.0,9.0,107
107,2012-08-05,3,1,8,8,0,0,0,1,28.5,62.0,23.0,108
108,2011-06-21,3,0,6,22,0,2,1,1,25.0,77.0,6.0,109
109,2011-03-02,1,0,3,7,0,3,1,1,2.5,66.0,18.0,110
110,2011-11-16,4,0,11,19,0,3,1,3,13.0,88.0,26.0,111
111,2012-01-08,1,1,1,19,0,0,0,1,6.5,50.0,12.0,112
112,2012-06-05,2,1,6,23,0,2,1,1,17.0,57.0,6.0,113
113,2011-10-13,4,0,10,22,0,4,1,1,20.0,85.0,13.0,114
114,2011-08-29,3,0,8,10,0,1,1,1,23.0,47.0,13.0,115
115,2011-07-20,3,0,7,6,0,3,1,2,24.5,88.0,7.0,116
116,2012-12-02,4,1,12,0,0,0,0,2,6.0,87.0,7.0,117
117,2012-03-04,1,1,3,9,0,0,0,1,6.0,49.0,26.0,118
118,2011-05-13,2,0,5,23,0,5,1,3,15.5,88.0,10.0,119
119,2011-10-12,4,0,10,11,0,3,1,3,17.5,91.0,22.0,120
120,2012-11-29,4,1,11,6,0,4,1,1,2.0,67.0,0.0,121
121,2011-03-13,1,0,3,10,0,0,0,1,12.0,44.0,22.0,122
122,2012-04-07,2,1,4,8,0,6,0,1,9.5,32.0,17.0,123
123,2011-12-15,4,0,12,22,0,4,1,1,16.5,62.0,22.0,124
124,2011-07-23,3,0,7,22,0,6,0,1,29.5,59.0,10.0,125
125,2011-10-01,4,0,10,19,0,6,0,2,9.5,84.0,10.0,126
126,2011-07-27,3,0,7,14,0,3,1,1,32.0,27.0,16.0,127
127,2011-11-07,4,0,11,11,0,1,1,1,12.5,72.0,3.0,128
128,2011-10-06,4,0,10,10,0,4,1,1,17.0,50.0,1.0,129
129,2012-11-16,4,1,11,6,0,5,1,2,6.0,61.0,9.0,130
130,2011-06-18,2,0,6,8,0,6,0,1,24.0,69.0,10.0,131
131,2011-07-08,3,0,7,16,0,5,1,3,23.0,88.0,32.0,132
132,2011-08-06,3,0,8,0,0,6,0,1,23.0,79.0,12.0,133
133,2012-01-11,1,1,1,17,0,3,1,3,8.0,87.0,14.0,134
134,2011-07-29,3,0,7,12,0,5,1,1,36.5,30.0,8.0,135
135,2011-05-22,2,0,5,21,0,0,0,1,20.5,78.0,11.0,136
136,2011-11-21,4,0,11,19,0,1,1,3,10.5,91.0,14.0,137
137,2012-12-03,4,1,12,6,0,1,1,1,8.5,93.0,1.0,138
138,2012-06-08,2,1,6,6,0,5,1,1,16.0,71.0,6.0,139
139,2012-02-01,1,1,2,22,0,3,1,1,14.5,59.0,9.0,140
140,2012-11-04,4,1,11,20,0,0,0,1,6.5,53.0,22.0,141
141,2011-07-20,3,0,7,11,0,3,1,1,30.0,61.0,3.0,142
142,2012-05-27,2,1,5,21,0,0,0,3,22.0,77.0,14.0,143
143,2011-04-18,2,0,4,14,0,1,1,2,20.0,46.0,13.0,144
144,2011-02-15,1,0,2,19,0,2,1,1,4.5,29.0,8.0,145
145,2012-11-01,4,1,11,10,0,4,1,3,9.0,62.0,14.0,146
146,2011-05-31,2,0,5,13,0,2,1,1,34.5,38.0,5.0,147
147,2011-04-02,2,0,4,19,0,6,0,1,8.5,52.0,22.0,148
148,2011-04-15,2,0,4,7,1,5,0,1,11.5,66.0,16.0,149
149,2011-06-16,2,0,6,11,0,4,1,2,25.0,58.0,24.0,150
150,2012-09-16,3,1,9,0,0,0,0,1,17.5,64.0,0.0,151
151,2012-03-16,1,1,3,21,0,5,1,2,12.5,94.0,0.0,152
152,2012-02-10,1,1,2,11,0,5,1,2,5.5,43.0,8.0,153
153,2012-12-11,4,1,12,10,0,2,1,1,9.0,55.0,22.0,154
154,2011-09-28,4,0,9,9,0,3,1,3,21.0,95.0,7.0,155
155,2011-08-12,3,0,8,11,0,5,1,1,29.0,28.0,1.0,156
156,2011-05-14,2,0,5,20,0,6,0,3,17.5,94.0,12.0,157
157,2011-04-04,2,0,4,9,0,1,1,2,16.5,48.0,25.0,158
158,2012-03-07,1,1,3,22,0,3,1,1,13.0,60.0,21.0,159
159,2011-04-05,2,0,4,19,0,2,1,1,8.5,45.0,19.0,160
160,2011-01-31,1,0,1,17,0,1,1,2,1.0,57.0,14.0,161
161,2011-02-13,1,0,2,15,0,0,0,2,11.5,29.0,20.0,162
162,2012-02-15,1,1,2,12,0,3,1,1,10.5,44.0,23.0,163
163,2011-03-05,1,0,3,17,0,6,0,2,14.5,58.0,23.0,164
164,2011-11-22,4,0,11,17,0,2,1,3,12.5,101.0,3.0,165
165,2011-08-01,3,0,8,9,0,1,1,1,31.5,39.0,5.0,166
166,2012-02-08,1,1,2,18,0,3,1,3,3.5,87.0,7.0,167
167,2011-11-10,4,0,11,20,0,4,1,2,9.0,59.0,18.0,168
168,2011-06-19,2,0,6,9,0,0,0,2,24.5,68.0,7.0,169
169,2011-05-24,2,0,5,12,0,2,1,1,28.0,45.0,22.0,170
170,2012-11-14,4,1,11,10,0,3,1,1,7.0,47.0,21.0,171
171,2012-08-15,3,1,8,6,0,3,1,1,22.5,74.0,10.0,172
172,2012-08-08,3,1,8,6,0,3,1,2,25.0,85.0,12.0,173
173,2012-06-22,3,1,6,23,0,5,1,2,22.5,79.0,1.0,174
174,2012-03-07,1,1,3,14,0,3,1,1,17.0,37.0,26.0,175
175,2012-05-12,2,1,5,23,0,6,0,1,19.0,59.0,8.0,176
176,2012-06-07,2,1,6,23,0,4,1,1,18.0,54.0,10.0,177
177,2012-11-16,4,1,11,21,0,5,1,1,7.5,51.0,15.0,178
178,2012-01-16,1,1,1,11,1,1,0,1,0.5,58.0,19.0,179
