instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2012-02-17,1,1,2,4,0,5,1,2,16.5,93.0,12.0,1
1,2012-04-23,2,1,4,1,0,1,1,3,18.0,88.0,23.0,2
2,2011-10-26,4,0,10,2,0,3,1,1,21.5,67.0,12.0,3
3,2012-08-01,3,1,8,4,0,3,1,2,28.0,78.0,9.0,4
4,2012-09-24,4,1,9,3,0,1,1,1,22.0,65.0,10.0,5
5,2012-05-14,2,1,5,4,0,1,1,2,24.5,76.0,12.0,6
6,2011-10-16,4,0,10,5,0,0,0,1,20.5,60.0,11.0,7
7,2011-10-28,4,0,10,3,0,5,1,1,17.5,68.0,19.0,8
8,2011-09-14,3,0,9,4,0,3,1,1,26.5,85.0,6.0,9
9,2011-07-11,3,0,7,3,0,1,1,1,28.5,70.0,13.0,10
10,2011-08-26,3,0,8,3,0,5,1,1,27.0,88.0,3.0,11
11,2011-07-17,3,0,7,5,0,0,0,1,27.5,71.0,13.0,12
12,2012-10-09,4,1,10,1,0,2,1,3,19.0,87.0,16.0,13
13,2011-03-12,1,0,3,2,0,6,0,1,15.5,65.0,15.0,14
14,2012-07-15,3,1,7,6,0,0,0,1,29.5,80.0,7.0,15
15,2012-05-02,2,1,5,2,0,3,1,1,25.5,83.0,3.0,16
16,2012-02-13,1,1,2,5,0,1,1,1,11.0,56.0,12.0,17
17,2012-01-03,1,1,1,23,0,2,1,1,11.0,44.0,25.0,18
18,2012-07-22,3,1,7,6,0,0,0,2,27.0,83.0,3.0,19
19,2011-01-09,1,0,1,21,0,0,0,1,12.5,46.0,25.0,20
20,2011-12-08,4,0,12,0,0,4,1,2,16.0,85.0,22.0,21
21,2011-01-18,1,0,1,13,0,2,1,2,14.5,83.0,13.0,22
22,2011-06-08,2,0,6,1,0,3,1,1,28.0,83.0,2.0,23
23,2011-11-24,4,0,11,1,1,4,0,1,17.5,59.0,25.0,24
24,2011-04-17,2,0,4,3,0,0,0,1,20.0,72.0,8.0,25
25,2011-05-31,2,0,5,5,0,2,1,1,28.5,82.0,6.0,26
26,2011-10-07,4,0,10,5,0,5,1,1,21.0,84.0,0.0,27
27,2011-01-08,1,0,1,20,0,6,0,1,11.5,38.0,20.0,28
28,2012-06-10,2,1,6,3,0,0,0,1,27.5,76.0,6.0,29
29,2011-02-13,1,0,2,23,0,0,0,1,20.0,36.0,24.0,30
30,2011-12-16,4,0,12,1,0,5,1,1,23.0,74.0,10.0,31
31,2011-10-05,4,0,10,5,0,3,1,1,21.5,82.0,9.0,32
32,2011-07-03,3,0,7,3,0,0,0,3,29.0,64.0,5.0,33
33,2011-11-28,4,0,11,5,0,1,1,1,20.5,84.0,3.0,34
34,2011-12-11,4,0,12,23,0,0,0,1,14.0,70.0,3.0,35
35,2012-04-29,2,1,4,0,0,0,0,3,19.0,81.0,9.0,36
36,2012-12-29,1,1,12,1,0,6,0,2,15.5,72.0,3.0,37
37,2012-04-18,2,1,4,0,0,3,1,1,24.5,32.0,12.0,38
38,2012-03-14,1,1,3,0,0,3,1,1,24.5,61.0,6.0,39
39,2012-06-09,2,1,6,3,0,6,0,1,27.0,58.0,1.0,40
