instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2012-05-09,2,1,5,2,0,3,1,3,18.2,88.62,21.06,1
1,2012-11-06,4,1,11,2,0,2,1,1,2.81,64.5,6.25,2
2,2011-01-01,1,0,1,7,0,6,0,1,2.05,80.81,0.0,3
3,2012-02-01,1,1,2,1,0,3,1,1,12.68,42.69,19.38,4
4,2011-10-05,4,0,10,4,0,3,1,1,12.62,85.37,4.19,5
5,2012-05-02,2,1,5,3,0,3,1,1,17.85,85.37,2.81,6
6,2011-08-24,3,0,8,4,0,3,1,1,18.26,73.31,7.31,7
7,2012-12-04,4,1,12,2,0,2,1,1,11.27,87.87,7.44,8
8,2011-07-20,3,0,7,2,0,3,1,1,24.96,84.06,3.94,9
9,2011-07-15,3,0,7,4,0,5,1,1,20.2,73.0,10.0,10
10,2012-12-25,1,1,12,8,1,2,0,2,3.22,87.0,0.69,11
11,2012-09-02,3,1,9,5,0,0,0,1,23.02,88.69,0.38,12
12,2011-11-16,4,0,11,5,0,3,1,3,13.68,93.62,6.38,13
13,2011-12-09,4,0,12,1,0,5,1,1,3.34,66.87,0.0,14
14,2011-07-09,3,0,7,5,0,6,0,2,21.49,86.12,11.75,15
15,2012-08-24,3,1,8,2,0,5,1,1,22.61,70.75,0.0,16
16,2012-02-13,1,1,2,5,0,1,1,1,3.36,56.25,12.31,17
17,2012-03-05,1,1,3,5,0,1,1,1,0.93,57.0,7.5,18
18,2012-08-17,3,1,8,2,0,5,1,1,22.55,62.25,7.87,19
19,2011-12-27,1,0,12,13,0,2,1,3,8.92,84.87,17.69,20
20,2012-10-21,4,1,10,4,0,0,0,1,9.27,69.06,9.19,21
21,2011-03-07,1,0,3,23,0,1,1,1,4.81,47.75,2.13,22
22,2011-05-29,2,0,5,4,0,0,0,1,20.08,91.37,8.32,23
23,2012-04-30,2,1,4,1,0,1,1,1,11.74,74.0,7.31,24
24,2011-04-08,2,0,4,0,0,5,1,2,8.39,76.0,11.75,25
25,2011-12-27,1,0,12,23,0,2,1,1,6.51,91.06,10.19,26
26,2011-08-24,3,0,8,5,0,3,1,1,18.2,73.56,3.13,27
27,2012-04-16,2,1,4,1,1,1,0,1,20.67,62.75,20.87,28
28,2012-03-09,1,1,3,5,0,5,1,3,10.86,58.62,21.75,29
29,2011-09-22,3,0,9,5,0,4,1,2,20.2,97.0,8.19,30
30,2011-10-18,4,0,10,0,0,2,1,1,14.15,84.25,0.38,31
31,2011-03-25,2,0,3,6,0,5,1,1,0.87,67.0,20.06,32
32,2011-06-19,2,0,6,6,0,0,0,2,22.96,78.25,11.94,33
33,2011-11-22,4,0,11,15,0,2,1,3,12.74,93.25,0.75,34
34,2011-03-03,1,0,3,6,0,4,1,1,1.95,37.69,24.5,35
35,2011-07-04,3,0,7,7,1,1,0,1,23.96,78.62,7.94,36
36,2012-12-12,4,1,12,5,0,3,1,1,4.22,60.0,16.06,37
37,2011-01-30,1,0,1,9,0,0,0,2,0.07,79.94,0.0,38
38,2011-04-18,2,0,4,0,0,1,1,1,13.8,44.5,7.31,39
39,2011-01-01,1,0,1,1,0,6,0,1,2.34,80.0,0.0,40
40,2012-12-29,1,1,12,10,0,6,0,3,2.81,86.56,8.44,41
41,2012-06-30,3,1,6,6,0,6,0,1,22.08,89.0,11.0,42
42,2012-01-16,1,1,1,22,1,1,0,2,5.22,59.31,22.0,43
43,2011-12-31,1,0,12,0,0,6,0,2,10.39,61.75,20.81,44
44,2012-07-31,3,1,7,5,0,2,1,1,22.43,86.37,11.06,45
45,2011-01-05,1,0,1,11,0,3,1,1,4.28,32.94,22.13,46
46,2011-01-17,1,0,1,9,1,1,0,2,0.48,48.19,16.25,47
47,2012-02-19,1,1,2,2,0,0,0,2,6.1,35.5,16.44,48
48,2011-06-23,3,0,6,0,0,4,1,1,25.84,76.5,15.0,49
49,2011-10-30,4,0,10,2,0,0,0,1,2.87,80.69,21.75,50
50,2011-06-26,3,0,6,7,0,0,0,1,21.61,61.25,6.94,51
51,2011-05-07,2,0,5,2,0,6,0,1,11.8,79.19,5.88,52
52,2011-04-16,2,0,4,20,0,6,0,3,12.5,93.62,6.69,53
53,2011-01-10,1,0,1,13,0,1,1,2,1.4,40.0,17.0,54
54,2011-02-24,1,0,2,22,0,4,1,3,7.51,90.0,17.75,55
55,2011-12-21,1,0,12,11,0,3,1,2,14.15,84.62,27.38,56
56,2011-03-09,1,0,3,10,0,3,1,2,6.69,74.75,22.06,57
57,2011-02-09,1,0,2,14,0,3,1,1,1.46,33.44,19.81,58
58,2012-01-15,1,1,1,0,0,0,0,1,0.48,47.0,21.5,59
59,2011-07-24,3,0,7,2,0,0,0,1,29.72,62.62,5.88,60
60,2011-04-11,2,0,4,6,0,1,1,2,14.5,94.37,14.88,61
61,2011-01-08,1,0,1,11,0,6,0,2,1.46,64.25,26.06,62
62,2012-04-01,2,1,4,23,0,0,0,3,13.09,77.19,3.13,63
63,2012-08-18,3,1,8,7,0,6,0,1,21.08,76.25,15.87,64
64,2012-03-25,2,1,3,23,0,0,0,1,14.62,82.0,9.62,65
65,2011-09-07,3,0,9,10,0,3,1,3,20.32,91.0,4.5,66
66,2012-04-09,2,1,4,23,0,1,1,1,12.62,45.5,19.25,67
67,2011-02-26,1,0,2,21,0,6,0,1,5.1,70.56,16.12,68
68,2011-12-27,1,0,12,20,0,2,1,1,6.98,90.37,5.69,69
69,2011-03-30,2,0,3,15,0,3,1,3,4.98,85.81,19.12,70
70,2012-02-13,1,1,2,10,0,1,1,1,0.34,44.06,10.19,71
71,2011-05-04,2,0,5,11,0,3,1,1,11.86,71.5,22.81,72
72,2011-10-08,4,0,10,7,0,6,0,1,12.56,88.31,3.38,73
73,2011-11-24,4,0,11,17,1,4,0,1,13.15,41.19,5.69,74
74,2011-11-17,4,0,11,6,0,4,1,3,8.51,58.12,16.5,75
75,2011-02-17,1,0,2,22,0,4,1,1,14.56,62.94,19.13,76
76,2011-01-23,1,0,1,15,0,0,0,1,0.42,27.0,22.75,77
77,2012-01-05,1,1,1,6,0,4,1,2,1.4,72.62,8.06,78
78,2011-10-30,4,0,10,21,0,0,0,1,6.63,70.31,0.0,79
79,2011-11-15,4,0,11,23,0,2,1,2,13.62,94.37,3.13,80
80,2011-05-11,2,0,5,23,0,3,1,1,13.5,89.0,16.0,81
81,2012-04-29,2,1,4,23,0,0,0,1,13.62,66.06,3.56,82
82,2011-01-13,1,0,1,13,0,4,1,1,2.34,41.0,28.5,83
83,2011-01-24,1,0,1,7,0,1,1,1,6.65,49.0,0.38,84
84,2012-12-31,1,1,12,7,0,1,1,1,1.07,66.81,9.0,85
85,2012-03-09,1,1,3,23,0,5,1,1,6.45,34.44,22.31,86
86,2011-07-25,3,0,7,23,0,1,1,1,24.9,81.5,6.88,87
87,2012-01-02,1,1,1,20,1,1,0,1,3.34,41.0,18.69,88
88,2011-02-06,1,0,2,10,0,0,0,1,6.57,50.44,18.69,89
89,2011-08-14,3,0,8,0,0,0,0,3,22.55,86.0,17.38,90
90,2012-12-27,1,1,12,20,0,4,1,1,3.28,60.0,13.37,91
91,2011-12-23,1,0,12,7,0,5,1,1,10.33,79.62,15.69,92
92,2012-03-28,2,1,3,23,0,3,1,1,17.26,68.75,11.25,93
93,2012-09-24,4,1,9,23,0,1,1,1,13.56,65.44,9.75,94
94,2012-11-18,4,1,11,1,0,0,0,1,5.57,75.5,9.87,95
95,2012-11-25,4,1,11,9,0,0,0,2,3.28,48.25,16.25,96
96,2012-11-27,4,1,11,22,0,2,1,1,3.75,81.37,13.5,97
97,2012-10-02,4,1,10,23,0,2,1,2,21.14,94.0,0.44,98
98,2012-10-02,4,1,10,11,0,2,1,3,19.73,91.37,11.25,99
99,2011-03-16,1,0,3,14,0,3,1,2,10.8,76.0,16.75,100
100,2012-09-29,4,1,9,1,0,6,0,1,17.44,57.81,15.13,101
101,2012-02-18,1,1,2,8,0,6,0,1,2.16,84.5,3.5,102
102,2011-02-02,1,0,2,16,0,3,1,1,5.57,58.87,21.19,103
103,2012-10-02,4,1,10,12,0,2,1,2,20.26,87.62,11.25,104
104,2012-08-18,3,1,8,0,0,6,0,2,21.61,88.87,13.0,105
105,2012-04-25,2,1,4,6,0,3,1,1,7.74,69.56,0.0,106
106,2012-12-25,1,1,12,15,1,2,0,1,8.98,49.81,16.81,107
107,2012-01-26,1,1,1,10,0,4,1,2,5.98,84.37,8.44,108
108,2011-01-30,1,0,1,15,0,0,0,1,6.16,55.69,1.19,109
109,2012-04-02,2,1,4,6,0,1,1,1,8.16,67.62,30.13,110
110,2012-12-08,4,1,12,8,0,6,0,2,9.86,94.06,2.44,111
111,2012-12-21,1,1,12,20,0,5,1,1,4.69,40.56,22.81,112
112,2012-03-18,1,1,3,1,0,0,0,1,13.68,81.25,7.63,113
113,2011-02-07,1,0,2,16,0,1,1,2,7.86,63.94,10.31,114
114,2011-02-25,1,0,2,12,0,5,1,3,18.08,59.62,31.06,115
115,2012-09-30,4,1,9,1,0,0,0,1,15.09,60.75,0.38,116
116,2012-09-08,3,1,9,1,0,6,0,2,23.02,89.0,21.06,117
117,2011-07-17,3,0,7,8,0,0,0,1,24.96,60.87,15.25,118
118,2011-03-15,1,0,3,7,0,2,1,1,3.69,72.19,8.75,119
119,2012-04-27,2,1,4,6,0,5,1,1,10.21,46.44,18.75,120
120,2011-05-23,2,0,5,10,0,1,1,1,23.67,70.62,23.31,121
121,2012-12-16,4,1,12,20,0,0,0,2,9.33,87.5,1.37,122
122,2011-06-30,3,0,6,6,0,4,1,1,20.55,63.37,16.0,123
123,2012-01-18,1,1,1,21,0,3,1,1,0.93,43.69,23.0,124
124,2011-06-04,2,0,6,8,0,6,0,1,20.73,44.19,8.0,125
125,2011-10-24,4,0,10,21,0,1,1,1,14.09,81.19,9.31,126
126,2011-12-19,4,0,12,21,0,1,1,2,8.8,56.06,9.87,127
127,2011-11-07,4,0,11,11,0,1,1,1,12.62,72.12,3.0,128
128,2011-09-28,4,0,9,10,0,3,1,2,22.02,88.75,3.0,129
129,2011-05-17,2,0,5,11,0,2,1,2,18.38,82.37,29.06,130
130,2012-10-19,4,1,10,23,0,5,1,1,13.5,86.31,8.06,131
131,2011-08-25,3,0,8,15,0,4,1,2,26.37,76.75,0.0,132
132,2011-09-21,3,0,9,10,0,3,1,2,20.73,85.06,5.44,133
133,2011-04-11,2,0,4,12,0,1,1,2,20.9,71.94,25.38,134
134,2012-04-11,2,1,4,14,0,3,1,1,9.1,53.37,13.0,135
135,2011-10-07,4,0,10,23,0,5,1,1,15.09,66.56,0.0,136
136,2011-08-06,3,0,8,20,0,6,0,3,25.37,81.19,20.63,137
137,2011-08-29,3,0,8,11,0,1,1,1,23.43,45.81,11.44,138
138,2011-12-13,4,0,12,21,0,2,1,1,6.16,51.06,11.69,139
139,2011-03-19,1,0,3,10,0,6,0,1,13.21,36.81,28.94,140
140,2011-10-31,4,0,10,14,0,1,1,2,12.74,46.75,13.0,141
141,2011-11-19,4,0,11,9,0,6,0,1,6.04,48.56,19.75,142
142,2011-08-30,3,0,8,22,0,2,1,1,21.14,60.25,0.38,143
143,2011-10-06,4,0,10,11,0,4,1,1,17.91,49.0,3.0,144
144,2011-03-25,2,0,3,12,0,5,1,1,6.98,40.75,14.31,145
145,2012-10-27,4,1,10,1,0,6,0,2,15.5,88.0,11.12,146
146,2011-03-27,2,0,3,13,0,0,0,1,6.69,37.19,12.5,147
147,2011-03-02,1,0,3,9,0,3,1,1,6.16,51.69,19.38,148
148,2011-12-10,4,0,12,9,0,6,0,1,6.16,59.0,17.94,149
149,2011-11-01,4,0,11,14,0,2,1,1,15.62,46.12,13.12,150
150,2011-11-06,4,0,11,19,0,0,0,1,9.27,78.81,10.44,151
151,2012-03-29,2,1,3,22,0,4,1,1,11.74,45.5,19.5,152
152,2011-01-24,1,0,1,18,0,1,1,1,1.42,56.75,11.62,153
153,2012-11-28,4,1,11,22,0,3,1,1,4.69,46.37,10.19,154
154,2012-10-04,4,1,10,23,0,4,1,1,19.2,65.37,2.38,155
155,2011-11-28,4,0,11,21,0,1,1,2,16.91,80.25,10.75,156
156,2011-03-12,1,0,3,13,0,6,0,1,9.74,50.94,27.31,157
157,2011-07-26,3,0,7,22,0,2,1,1,27.6,57.25,7.37,158
158,2011-01-14,1,0,1,17,0,5,1,1,1.99,43.25,5.38,159
159,2012-10-12,4,1,10,22,0,5,1,1,9.86,51.56,17.37,160
160,2011-11-08,4,0,11,14,0,2,1,1,18.91,45.81,6.63,161
161,2011-07-05,3,0,7,15,0,2,1,1,30.6,44.12,2.81,162
162,2011-07-26,3,0,7,15,0,2,1,1,32.95,31.87,20.38,163
163,2011-03-27,2,0,3,14,0,0,0,1,7.04,35.94,15.94,164
164,2012-06-20,2,1,6,6,0,3,1,2,22.31,90.31,3.0,165
165,2011-10-07,4,0,10,21,0,5,1,1,15.38,69.5,0.0,166
166,2011-12-14,4,0,12,15,0,3,1,2,9.92,53.81,7.06,167
167,2012-01-02,1,1,1,15,1,1,0,1,4.63,36.62,29.25,168
168,2011-07-27,3,0,7,12,0,3,1,1,31.07,30.06,23.25,169
169,2012-09-20,3,1,9,6,0,4,1,1,12.86,80.87,3.13,170
170,2012-02-17,1,1,2,20,0,5,1,1,10.45,35.69,12.75,171
171,2012-11-17,4,1,11,20,0,6,0,2,7.51,62.31,6.5,172
172,2011-08-05,3,0,8,21,0,5,1,1,24.9,65.19,13.87,173
173,2011-09-01,3,0,9,15,0,4,1,1,26.37,50.62,10.25,174
174,2011-02-07,1,0,2,18,0,1,1,2,7.57,67.75,3.94,175
175,2011-05-10,2,0,5,14,0,2,1,2,21.55,32.81,1.88,176
176,2011-11-18,4,0,11,13,0,5,1,1,8.04,31.0,12.94,177
177,2012-02-24,1,1,2,16,0,5,1,3,11.27,90.5,10.44,178
178,2011-09-01,3,0,9,22,0,4,1,2,22.55,61.0,16.37,179
179,2011-08-10,3,0,8,9,0,3,1,1,28.72,45.44,14.44,180
180,2011-07-17,3,0,7,22,0,0,0,1,25.31,70.25,12.0,181
181,2011-01-04,1,0,1,18,0,2,1,1,3.69,48.0,9.87,182
182,2011-06-18,2,0,6,21,0,6,0,2,25.84,64.5,8.44,183
183,2011-09-13,3,0,9,13,0,2,1,1,26.84,50.56,20.88,184
184,2011-04-08,2,0,4,9,0,5,1,2,8.86,73.37,15.69,185
185,2011-12-22,1,0,12,7,0,4,1,1,8.33,90.37,0.38,186
186,2011-01-07,1,0,1,17,0,5,1,2,1.52,37.56,2.31,187
187,2011-06-02,2,0,6,15,0,4,1,1,28.31,21.25,26.63,188
188,2012-07-27,3,1,7,23,0,5,1,1,27.25,63.94,4.12,189
189,2011-01-05,1,0,1,17,0,3,1,1,3.1,38.62,11.56,190
190,2012-07-28,3,1,7,0,0,6,0,1,26.25,65.75,8.44,191
191,2012-10-31,4,1,10,21,0,3,1,2,9.86,53.5,11.19,192
192,2011-11-30,4,0,11,9,0,3,1,1,6.98,70.87,17.06,193
193,2011-05-16,2,0,5,9,0,1,1,1,20.73,67.25,9.44,194
194,2012-11-25,4,1,11,13,0,0,0,2,5.16,41.5,13.75,195
195,2011-05-28,2,0,5,20,0,6,0,1,23.96,69.25,17.94,196
196,2011-07-23,3,0,7,17,0,6,0,1,36.0,37.81,12.37,197
197,2012-11-24,4,1,11,15,0,6,0,1,5.63,37.0,30.75,198
198,2012-02-09,1,1,2,20,0,4,1,1,6.57,43.94,2.94,199
199,2012-12-17,4,1,12,20,0,1,1,2,11.74,94.37,13.5,200
200,2012-04-26,2,1,4,9,0,4,1,3,13.62,91.37,10.63,201
201,2011-11-14,4,0,11,12,0,1,1,1,19.26,52.44,22.81,202
202,2011-04-07,2,0,4,20,0,4,1,1,12.74,64.12,14.81,203
203,2011-12-02,4,0,12,12,0,5,1,1,9.86,51.62,9.0,204
204,2011-10-13,4,0,10,19,0,4,1,2,21.14,83.0,15.0,205
205,2011-10-02,4,0,10,16,0,0,0,3,8.92,87.75,11.62,206
206,2011-06-30,3,0,6,22,0,4,1,1,23.9,46.31,5.75,207
207,2012-12-21,1,1,12,7,0,5,1,2,6.98,56.75,14.31,208
208,2011-09-15,3,0,9,9,0,4,1,2,22.49,71.25,21.94,209
209,2011-05-25,2,0,5,12,0,3,1,1,26.78,55.25,9.06,210
210,2012-01-23,1,1,1,9,0,1,1,2,1.4,89.5,2.44,211
211,2012-09-13,3,1,9,10,0,4,1,1,22.61,55.69,8.75,212
212,2011-08-02,3,0,8,9,0,2,1,1,29.66,40.5,19.56,213
213,2012-08-08,3,1,8,10,0,3,1,2,29.72,51.12,5.06,214
214,2012-07-30,3,1,7,11,0,1,1,2,28.19,56.37,7.37,215
215,2011-03-26,2,0,3,14,0,6,0,1,8.04,29.12,14.0,216
216,2012-10-10,4,1,10,10,0,3,1,1,17.91,51.25,16.44,217
