instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2011-01-24,1,0,1,4,0,1,1,1,8.58,48.19,8.69,1
1,2011-04-06,2,0,4,1,0,3,1,1,15.63,66.31,9.12,2
2,2011-02-07,1,0,2,2,0,1,1,1,14.16,83.31,0.0,3
3,2011-04-05,2,0,4,3,0,2,1,2,23.46,83.87,20.88,4
4,2012-05-30,2,1,5,2,0,3,1,3,27.18,91.31,7.06,5
5,2011-09-21,3,0,9,2,0,3,1,1,24.74,93.62,2.81,6
6,2011-04-19,2,0,4,1,0,2,1,1,22.14,65.75,17.25,7
7,2011-09-05,3,0,9,4,1,1,0,2,28.77,71.19,15.06,8
8,2011-02-05,1,0,2,5,0,6,0,3,14.12,100.87,2.44,9
9,2012-12-26,1,1,12,12,0,3,1,3,14.86,86.69,21.75,10
10,2012-10-22,4,1,10,1,0,1,1,1,20.05,72.12,0.0,11
11,2012-01-03,1,1,1,5,0,2,1,1,12.3,56.44,15.87,12
12,2011-04-19,2,0,4,2,0,2,1,1,22.61,65.0,17.81,13
13,2011-06-12,2,0,6,4,0,0,0,1,27.18,87.94,13.0,14
14,2012-05-21,2,1,5,1,0,1,1,3,25.67,91.37,20.56,15
15,2011-10-28,4,0,10,1,0,5,1,1,17.92,65.75,18.0,16
16,2011-09-25,4,0,9,6,0,0,0,2,26.56,91.37,8.62,17
17,2012-06-17,2,1,6,4,0,0,0,1,24.78,65.75,7.56,18
18,2012-01-19,1,1,1,5,0,4,1,1,11.72,54.56,14.94,19
19,2011-07-05,3,0,7,5,0,2,1,1,28.38,72.06,2.31,20
20,2011-04-02,2,0,4,2,0,6,0,1,15.4,73.12,10.0,21
21,2011-08-13,3,0,8,6,0,6,0,1,28.07,74.06,9.56,22
22,2011-11-26,4,0,11,2,0,6,0,1,17.26,81.31,3.56,23
23,2011-04-24,2,0,4,3,0,0,0,1,23.5,94.37,5.57,24
24,2011-04-08,2,0,4,0,0,5,1,2,18.81,76.0,11.75,25
25,2012-02-12,1,1,2,8,0,0,0,1,10.75,51.44,18.5,26
26,2011-08-13,3,0,8,3,0,6,0,1,28.11,69.5,9.69,27
27,2011-09-17,3,0,9,3,0,6,0,1,22.26,71.37,9.06,28
28,2012-02-29,1,1,2,5,0,3,1,1,16.37,74.94,5.82,29
