instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2011-01-20,1,0,1,4,0,4,1,1,4.22,56.0,11.001,1
1,2011-11-24,4,0,11,4,1,4,0,1,6.1,61.0,6.003,2
2,2012-12-25,1,1,12,5,1,2,0,2,2.34,93.0,8.998,3
3,2012-03-14,1,1,3,3,0,3,1,1,14.56,72.0,12.998,4
4,2012-01-15,1,1,1,5,0,0,0,2,-0.48,47.0,22.003,5
5,2012-05-14,2,1,5,4,0,1,1,2,17.38,77.0,15.001,6
6,2012-11-17,4,1,11,4,0,6,0,1,3.28,70.0,12.998,7
7,2011-01-17,1,0,1,2,1,1,0,2,0.46,43.0,16.998,8
8,2012-05-28,2,1,5,5,1,1,0,1,20.2,78.0,8.998,9
9,2011-04-10,2,0,4,7,0,0,0,2,8.92,100.0,6.003,10
10,2012-09-08,3,1,9,4,0,6,0,2,23.02,94.0,15.001,11
11,2011-07-11,3,0,7,2,0,1,1,1,24.9,61.0,15.001,12
12,2012-12-20,4,1,12,23,0,4,1,3,10.8,82.0,19.999,13
13,2012-07-28,3,1,7,5,0,6,0,1,23.96,79.0,11.001,14
14,2011-10-13,4,0,10,0,0,4,1,2,17.38,94.0,8.998,15
15,2012-02-10,1,1,2,2,0,5,1,1,4.22,52.0,6.003,16
16,2012-01-15,1,1,1,7,0,0,0,1,-2.36,54.0,19.001,17
17,2012-02-18,1,1,2,3,0,6,0,1,5.16,65.0,7.002,18
18,2012-07-15,3,1,7,4,0,0,0,2,23.96,89.0,7.002,19
19,2012-11-23,4,1,11,6,0,5,1,1,3.28,81.0,0.0,20
20,2012-05-03,2,1,5,5,0,4,1,2,13.62,88.0,16.998,21
21,2011-02-26,1,0,2,7,0,6,0,1,2.34,60.0,6.003,22
22,2012-04-06,2,1,4,5,0,5,1,1,7.04,53.0,22.003,23
23,2012-05-15,2,1,5,6,0,2,1,3,18.32,94.0,15.001,24
24,2012-06-24,3,1,6,6,0,0,0,1,22.08,65.0,11.001,25
25,2012-01-24,1,1,1,5,0,2,1,2,6.1,100.0,6.003,26
26,2011-06-18,2,0,6,6,0,6,0,1,21.14,83.0,7.002,27
27,2011-04-01,2,0,4,6,0,5,1,3,3.28,93.0,15.001,28
28,2012-04-05,2,1,4,5,0,4,1,1,9.86,43.0,19.001,29
29,2011-12-07,4,0,12,15,0,3,1,3,11.74,94.0,15.001,30
30,2011-07-01,3,0,7,1,0,5,1,1,23.02,50.0,0.0,31
31,2011-05-15,2,0,5,3,0,0,0,2,16.44,100.0,0.0,32
32,2012-08-01,3,1,8,1,0,3,1,1,23.02,83.0,6.003,33
33,2011-08-29,3,0,8,0,0,1,1,1,21.14,73.0,7.002,34
34,2012-12-20,4,1,12,5,0,4,1,2,6.1,70.0,7.002,35
35,2011-03-30,2,0,3,16,0,3,1,3,5.16,87.0,16.998,36
36,2011-01-13,1,0,1,11,0,4,1,2,1.4,44.0,30.003,37
37,2011-02-03,1,0,2,23,0,4,1,1,1.4,47.0,7.002,38
38,2012-05-16,2,1,5,0,0,3,1,2,19.26,88.0,0.0,39
39,2012-06-09,2,1,6,3,0,6,0,1,21.14,57.0,0.0,40
40,2012-09-14,3,1,9,5,0,5,1,1,17.38,83.0,0.0,41
41,2012-12-20,4,1,12,0,0,4,1,1,7.04,61.0,8.998,42
42,2012-02-10,1,1,2,0,0,5,1,2,5.16,65.0,6.003,43
43,2011-12-31,1,0,12,0,0,6,0,2,9.86,62.0,22.003,44
44,2011-07-23,3,0,7,7,0,6,0,1,29.6,52.0,7.002,45
45,2011-02-26,1,0,2,22,0,6,0,1,5.16,75.0,15.001,46
46,2011-01-17,1,0,1,9,1,1,0,2,-0.48,47.0,15.001,47
47,2011-01-04,1,0,1,21,0,2,1,1,2.34,64.0,0.0,48
48,2011-02-21,1,0,2,19,1,1,0,2,3.28,87.0,23.999,49
49,2012-07-16,3,1,7,5,0,1,1,1,23.02,78.0,7.002,50
50,2011-04-08,2,0,4,22,0,5,1,2,6.1,93.0,19.999,51
51,2012-03-11,1,1,3,23,0,0,0,1,10.8,50.0,11.001,52
52,2011-12-06,4,0,12,23,0,2,1,3,13.62,100.0,11.001,53
53,2011-10-12,4,0,10,23,0,3,1,3,17.38,94.0,6.003,54
54,2011-02-05,1,0,2,14,0,6,0,3,2.34,100.0,0.0,55
55,2011-04-06,2,0,4,6,0,3,1,1,3.28,70.0,7.002,56
56,2011-01-12,1,0,1,21,0,3,1,1,-0.48,55.0,22.003,57
57,2011-07-16,3,0,7,2,0,6,0,1,20.2,73.0,8.998,58
58,2012-11-18,4,1,11,23,0,0,0,1,8.92,66.0,15.001,59
59,2011-06-11,2,0,6,2,0,6,0,1,24.9,79.0,7.002,60
60,2011-09-23,4,0,9,15,0,5,1,3,21.14,94.0,7.002,61
61,2011-10-27,4,0,10,10,0,4,1,3,15.5,88.0,12.998,62
62,2011-08-06,3,0,8,7,0,6,0,1,23.96,83.0,11.001,63
63,2011-04-07,2,0,4,6,0,4,1,1,7.04,81.0,16.998,64
64,2012-01-13,1,1,1,22,0,5,1,1,1.4,47.0,22.003,65
65,2011-11-09,4,0,11,23,0,3,1,1,9.86,87.0,0.0,66
66,2012-11-23,4,1,11,23,0,5,1,1,11.74,38.0,30.003,67
67,2012-01-17,1,1,1,9,0,2,1,3,7.04,81.0,16.998,68
68,2011-02-10,1,0,2,12,0,4,1,1,-0.48,34.0,26.003,69
69,2012-09-17,3,1,9,23,0,1,1,3,20.2,94.0,16.998,70
70,2012-05-15,2,1,5,23,0,2,1,3,18.32,88.0,7.002,71
71,2011-05-23,2,0,5,23,0,1,1,2,21.14,88.0,12.998,72
72,2011-12-30,1,0,12,23,0,5,1,2,8.92,66.0,16.998,73
73,2012-11-18,4,1,11,22,0,0,0,2,8.92,66.0,16.998,74
