instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2011-04-12,2,0,4,3,0,2,1,2,25.98,56.0,8.998,1
1,2012-02-03,1,1,2,4,0,5,1,1,16.06,60.0,15.001,2
2,2012-01-12,1,1,1,3,0,4,1,3,19.16,93.0,16.998,3
3,2011-08-01,3,0,8,4,0,1,1,1,28.46,83.0,8.998,4
4,2011-04-25,2,0,4,4,0,1,1,2,24.12,100.0,0.0,5
5,2012-11-10,4,1,11,4,0,6,0,1,16.06,87.0,7.002,6
6,2011-11-04,4,0,11,4,0,5,1,2,19.78,87.0,6.003,7
7,2011-03-26,2,0,3,5,0,6,0,1,14.2,51.0,12.998,8
8,2011-07-23,3,0,7,4,0,6,0,1,31.56,66.0,7.002,9
9,2011-08-08,3,0,8,4,0,1,1,1,28.46,89.0,7.002,10
10,2012-12-27,1,1,12,5,0,4,1,1,15.44,75.0,11.001,11
11,2012-04-08,2,1,4,5,0,0,0,1,19.78,46.0,0.0,12
12,2012-12-30,1,1,12,7,0,0,0,1,15.44,56.0,23.999,13
13,2012-07-11,3,1,7,1,0,3,1,1,27.84,89.0,0.0,14
14,2012-12-26,1,1,12,13,0,3,1,3,14.82,87.0,22.003,15
15,2011-04-23,2,0,4,1,0,6,0,2,17.92,100.0,12.998,16
16,2011-12-22,1,0,12,22,0,4,1,3,19.16,93.0,7.002,17
17,2011-02-05,1,0,2,1,0,6,0,2,15.44,65.0,11.001,18
18,2012-10-03,4,1,10,1,0,3,1,2,27.22,94.0,0.0,19
19,2011-02-15,1,0,2,23,0,2,1,2,14.82,44.0,6.003,20
20,2011-10-24,4,0,10,5,0,1,1,1,19.78,87.0,0.0,21
21,2012-02-26,1,1,2,7,0,0,0,1,14.2,51.0,19.999,22
22,2012-02-16,1,1,2,0,0,4,1,2,17.3,70.0,8.998,23
23,2012-03-13,1,1,3,5,0,2,1,2,22.26,82.0,12.998,24
24,2012-04-20,2,1,4,5,0,5,1,1,21.02,94.0,0.0,25
25,2012-03-17,1,1,3,3,0,6,0,2,21.64,88.0,0.0,26
26,2011-06-18,2,0,6,6,0,6,0,1,27.22,83.0,7.002,27
27,2011-01-13,1,0,1,6,0,4,1,1,11.72,54.0,8.998,28
28,2012-06-08,2,1,6,1,0,5,1,1,25.36,56.0,11.001,29
29,2012-11-01,4,1,11,1,0,4,1,1,17.3,75.0,7.002,30
30,2011-05-30,2,0,5,7,1,1,0,2,27.84,94.0,0.0,31
31,2011-05-06,2,0,5,1,0,5,1,1,20.4,62.0,11.001,32
32,2011-12-22,1,0,12,20,0,4,1,3,21.02,71.0,0.0,33
33,2011-01-29,1,0,1,9,0,6,0,1,13.58,59.0,6.003,34
34,2012-07-03,3,1,7,5,0,2,1,1,29.7,61.0,0.0,35
35,2012-02-19,1,1,2,21,0,0,0,3,16.06,65.0,11.001,36
36,2012-04-09,2,1,4,0,0,1,1,1,22.88,39.0,19.001,37
37,2012-08-28,3,1,8,0,0,2,1,1,29.7,84.0,16.998,38
38,2011-01-12,1,0,1,10,0,3,1,1,13.58,55.0,15.001,39
39,2011-04-22,2,0,4,13,0,5,1,3,18.54,87.0,12.998,40
40,2011-03-26,2,0,3,7,0,6,0,1,14.2,51.0,12.998,41
41,2011-07-30,3,0,7,7,0,6,0,1,31.56,66.0,12.998,42
42,2011-07-30,3,0,7,3,0,6,0,1,30.94,62.0,11.001,43
43,2012-02-16,1,1,2,10,0,4,1,3,17.92,70.0,8.998,44
44,2011-07-28,3,0,7,0,0,4,1,1,29.7,51.0,8.998,45
45,2011-09-24,4,0,9,7,0,6,0,2,25.36,88.0,7.002,46
46,2011-06-09,2,0,6,0,0,4,1,2,30.94,79.0,8.998,47
47,2012-12-29,1,1,12,12,0,6,0,3,14.2,100.0,0.0,48
48,2012-12-05,4,1,12,5,0,3,1,1,23.5,59.0,19.001,49
49,2012-11-02,4,1,11,0,0,5,1,1,18.54,57.0,11.001,50
50,2011-02-01,1,0,2,11,0,2,1,2,13.58,86.0,0.0,51
51,2011-01-03,1,0,1,21,0,1,1,1,13.58,64.0,8.998,52
52,2011-03-11,1,0,3,21,0,5,1,2,17.3,52.0,16.998,53
53,2011-04-08,2,0,4,21,0,5,1,2,17.3,93.0,16.998,54
54,2012-01-11,1,1,1,12,0,3,1,3,17.3,81.0,0.0,55
55,2012-01-19,1,1,1,23,0,4,1,1,16.06,48.0,22.003,56
56,2011-03-09,1,0,3,10,0,3,1,2,17.3,75.0,16.998,57
57,2011-01-29,1,0,1,19,0,6,0,2,14.82,69.0,16.998,58
58,2011-01-19,1,0,1,21,0,3,1,1,17.92,49.0,27.999,59
59,2012-04-30,2,1,4,23,0,1,1,2,24.12,55.0,15.001,60
60,2012-04-11,2,1,4,23,0,3,1,1,18.54,57.0,19.999,61
61,2011-12-17,4,0,12,0,0,6,0,1,17.3,49.0,19.001,62
62,2012-11-12,4,1,11,23,1,1,0,2,24.74,77.0,15.001,63
63,2011-05-08,2,0,5,1,0,0,0,2,24.12,55.0,0.0,64
64,2012-09-06,3,1,9,0,0,4,1,2,29.7,84.0,6.003,65
65,2011-02-21,1,0,2,18,1,1,0,2,15.44,87.0,23.999,66
66,2012-01-21,1,1,1,20,0,6,0,2,13.58,80.0,19.999,67
67,2011-01-29,1,0,1,18,0,6,0,1,14.82,69.0,8.998,68
68,2011-04-06,2,0,4,10,0,3,1,1,20.4,37.0,26.003,69
69,2011-01-02,1,0,1,11,0,0,0,2,19.16,71.0,16.998,70
