instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,2011-01-01,1,0,1,0,0,6,0,1,3.28,81.0,0.0,16
1,2011-01-01,1,0,1,1,0,6,0,1,2.34,80.0,0.0,40
2,2011-01-01,1,0,1,2,0,6,0,1,2.34,80.0,0.0,32
3,2011-01-01,1,0,1,3,0,6,0,1,3.28,75.0,0.0,13
4,2011-01-01,1,0,1,4,0,6,0,1,3.28,75.0,0.0,1
5,2011-01-01,1,0,1,5,0,6,0,2,3.28,75.0,6.003,1
6,2011-01-01,1,0,1,6,0,6,0,1,2.34,80.0,0.0,2
7,2011-01-01,1,0,1,7,0,6,0,1,1.4,86.0,0.0,3
8,2011-01-01,1,0,1,8,0,6,0,1,3.28,75.0,0.0,8
9,2011-01-01,1,0,1,9,0,6,0,1,7.04,76.0,0.0,14
10,2011-01-01,1,0,1,10,0,6,0,1,9.86,76.0,16.998,36
11,2011-01-01,1,0,1,11,0,6,0,1,8.92,81.0,19.001,56
12,2011-01-01,1,0,1,12,0,6,0,1,11.74,77.0,19.001,84
13,2011-01-01,1,0,1,13,0,6,0,2,13.62,72.0,19.999,94
14,2011-01-01,1,0,1,14,0,6,0,2,13.62,72.0,19.001,106
15,2011-01-01,1,0,1,15,0,6,0,2,12.68,77.0,19.999,110
16,2011-01-01,1,0,1,16,0,6,0,2,11.74,82.0,19.999,93
17,2011-01-01,1,0,1,17,0,6,0,2,12.68,82.0,19.001,67
18,2011-01-01,1,0,1,18,0,6,0,3,11.74,88.0,16.998,35
19,2011-01-01,1,0,1,19,0,6,0,3,11.74,88.0,16.998,37
20,2011-01-01,1,0,1,20,0,6,0,2,10.8,87.0,16.998,36
21,2011-01-01,1,0,1,21,0,6,0,2,10.8,87.0,12.998,34
22,2011-01-01,1,0,1,22,0,6,0,2,10.8,94.0,15.001,28
23,2011-01-01,1,0,1,23,0,6,0,2,13.62,88.0,19.999,39
24,2011-01-02,1,0,1,0,0,0,0,2,13.62,88.0,19.999,17
25,2011-01-02,1,0,1,1,0,0,0,2,12.68,94.0,16.998,17
26,2011-01-02,1,0,1,2,0,0,0,2,11.74,100.0,19.001,9
27,2011-01-02,1,0,1,3,0,0,0,2,13.62,94.0,12.998,6
28,2011-01-02,1,0,1,4,0,0,0,2,13.62,94.0,12.998,3
29,2011-01-02,1,0,1,6,0,0,0,3,11.74,77.0,19.999,2
30,2011-01-02,1,0,1,7,0,0,0,2,10.8,76.0,12.998,1
31,2011-01-02,1,0,1,8,0,0,0,3,10.8,71.0,15.001,8
32,2011-01-02,1,0,1,9,0,0,0,2,9.86,76.0,15.001,20
33,2011-01-02,1,0,1,10,0,0,0,2,8.92,81.0,15.001,53
34,2011-01-02,1,0,1,11,0,0,0,2,8.92,71.0,16.998,70
35,2011-01-02,1,0,1,12,0,0,0,2,8.92,66.0,19.999,93
36,2011-01-02,1,0,1,13,0,0,0,2,8.92,66.0,8.998,75
37,2011-01-02,1,0,1,14,0,0,0,3,8.92,76.0,12.998,59
38,2011-01-02,1,0,1,15,0,0,0,3,7.98,81.0,11.001,74
39,2011-01-02,1,0,1,16,0,0,0,3,7.98,71.0,11.001,76
40,2011-01-02,1,0,1,17,0,0,0,1,7.98,57.0,12.998,65
41,2011-01-02,1,0,1,18,0,0,0,2,8.92,46.0,22.003,53
42,2011-01-02,1,0,1,19,0,0,0,1,7.04,42.0,30.003,30
43,2011-01-02,1,0,1,20,0,0,0,1,6.1,39.0,23.999,22
44,2011-01-02,1,0,1,21,0,0,0,1,4.22,44.0,22.003,31
45,2011-01-02,1,0,1,22,0,0,0,1,3.28,44.0,19.999,9
46,2011-01-02,1,0,1,23,0,0,0,1,2.34,47.0,11.001,8
47,2011-01-03,1,0,1,0,0,1,1,1,2.34,44.0,23.999,5
48,2011-01-03,1,0,1,1,0,1,1,1,1.4,44.0,27.999,2
49,2011-01-03,1,0,1,4,0,1,1,1,-0.48,47.0,26.003,1
50,2011-01-03,1,0,1,5,0,1,1,1,-0.48,47.0,19.001,3
51,2011-01-03,1,0,1,6,0,1,1,1,-1.42,50.0,26.003,30
52,2011-01-03,1,0,1,7,0,1,1,1,-1.42,50.0,12.998,64
53,2011-01-03,1,0,1,8,0,1,1,1,-1.42,50.0,19.001,154
54,2011-01-03,1,0,1,9,0,1,1,1,-0.48,43.0,26.003,88
55,2011-01-03,1,0,1,10,0,1,1,1,0.46,43.0,16.998,44
56,2011-01-03,1,0,1,11,0,1,1,1,1.4,40.0,22.003,51
57,2011-01-03,1,0,1,12,0,1,1,1,2.34,35.0,19.999,61
58,2011-01-03,1,0,1,13,0,1,1,1,3.28,35.0,19.001,61
59,2011-01-03,1,0,1,14,0,1,1,1,4.22,30.0,19.001,77
60,2011-01-03,1,0,1,15,0,1,1,1,4.22,30.0,16.998,72
61,2011-01-03,1,0,1,16,0,1,1,1,4.22,30.0,16.998,76
62,2011-01-03,1,0,1,17,0,1,1,1,3.28,30.0,15.001,157
63,2011-01-03,1,0,1,18,0,1,1,1,3.28,32.0,7.002,157
64,2011-01-03,1,0,1,19,0,1,1,1,1.4,47.0,0.0,110
65,2011-01-03,1,0,1,20,0,1,1,1,1.4,47.0,7.002,52
66,2011-01-03,1,0,1,21,0,1,1,1,0.46,64.0,8.998,52
67,2011-01-03,1,0,1,22,0,1,1,1,-1.42,69.0,8.998,20
68,2011-01-03,1,0,1,23,0,1,1,1,0.46,55.0,7.002,12
69,2011-01-04,1,0,1,0,0,2,1,1,-0.48,55.0,7.002,5
70,2011-01-04,1,0,1,1,0,2,1,1,-0.48,59.0,7.002,2
71,2011-01-04,1,0,1,2,0,2,1,1,-1.42,63.0,8.998,1
72,2011-01-04,1,0,1,4,0,2,1,1,-1.42,63.0,6.003,2
73,2011-01-04,1,0,1,5,0,2,1,1,-2.36,68.0,7.002,4
74,2011-01-04,1,0,1,6,0,2,1,1,-2.36,74.0,7.002,36
75,2011-01-04,1,0,1,7,0,2,1,1,-2.36,74.0,8.998,94
76,2011-01-04,1,0,1,8,0,2,1,1,-1.42,69.0,11.001,179
77,2011-01-04,1,0,1,9,0,2,1,1,-0.48,64.0,15.001,100
78,2011-01-04,1,0,1,10,0,2,1,2,-0.48,69.0,22.003,42
79,2011-01-04,1,0,1,11,0,2,1,1,2.34,51.0,19.999,57
80,2011-01-04,1,0,1,12,0,2,1,1,2.34,51.0,11.001,78
81,2011-01-04,1,0,1,13,0,2,1,1,3.28,56.0,12.998,97
82,2011-01-04,1,0,1,14,0,2,1,1,4.22,52.0,15.001,63
83,2011-01-04,1,0,1,15,0,2,1,1,5.16,52.0,16.998,65
84,2011-01-04,1,0,1,16,0,2,1,1,6.1,49.0,16.998,83
85,2011-01-04,1,0,1,17,0,2,1,1,5.16,48.0,15.001,212
86,2011-01-04,1,0,1,18,0,2,1,1,4.22,48.0,12.998,182
87,2011-01-04,1,0,1,19,0,2,1,1,3.28,48.0,7.002,112
88,2011-01-04,1,0,1,20,0,2,1,1,3.28,48.0,7.002,54
89,2011-01-04,1,0,1,21,0,2,1,1,2.34,64.0,0.0,48
90,2011-01-04,1,0,1,22,0,2,1,1,2.34,64.0,6.003,35
91,2011-01-04,1,0,1,23,0,2,1,1,1.4,69.0,6.003,11
92,2011-01-05,1,0,1,0,0,3,1,1,1.4,64.0,0.0,6
